tipo,strike,vencimiento,oi,gamma,gex_contrib
call,360.0,2026-08-21,214.0,0.0,0.0
call,365.0,2026-08-21,152.0,0.0,0.0
call,370.0,2026-08-21,6.0,0.0,0.0
call,375.0,2026-08-21,4.0,0.0,0.0
call,380.0,2026-08-21,0.0,0.0,0.0
call,385.0,2026-08-21,1.0,0.0,0.0
call,390.0,2026-08-21,1.0,0.0,0.0
call,395.0,2026-08-21,43.0,0.0,0.0
call,400.0,2026-08-21,18.0,0.0,0.0
call,410.0,2026-08-21,4.0,0.0,0.0
call,415.0,2026-08-21,9.0,0.0,0.0
call,420.0,2026-08-21,8.0,0.0,0.0
call,425.0,2026-08-21,5.0,0.0,0.0
call,435.0,2026-08-21,5.0,0.0,0.0
call,440.0,2026-08-21,8.0,0.0,0.0
call,445.0,2026-08-21,11.0,0.0,0.0
call,450.0,2026-08-21,927.0,0.0,0.0
call,455.0,2026-08-21,1.0,0.0,0.0
call,460.0,2026-08-21,16.0,0.0,0.0
call,465.0,2026-08-21,6.0,0.0,0.0
call,470.0,2026-08-21,169.0,0.0,0.0
call,475.0,2026-08-21,49.0,0.0,0.0
call,480.0,2026-08-21,9.0,0.0,0.0
call,485.0,2026-08-21,3.0,0.0,0.0
call,490.0,2026-08-21,30.0,0.0,0.0
call,495.0,2026-08-21,1.0,0.0,0.0
call,500.0,2026-08-21,398.0,0.0,0.0
call,505.0,2026-08-21,7.0,0.0,0.0
call,510.0,2026-08-21,16.0,0.0,0.0
call,515.0,2026-08-21,36.0,0.0,0.0
call,520.0,2026-08-21,31.0,0.0,0.0
call,525.0,2026-08-21,25.0,0.0,0.0
call,530.0,2026-08-21,14.0,0.0,0.0
call,535.0,2026-08-21,8.0,0.0,0.0
call,540.0,2026-08-21,7.0,0.0,0.0
call,545.0,2026-08-21,236.0,0.0,0.0
call,550.0,2026-08-21,338.0,0.0,0.0
call,555.0,2026-08-21,123.0,0.0,0.0
call,560.0,2026-08-21,25.0,0.0,0.0
call,565.0,2026-08-21,36.0,0.0,0.0
call,570.0,2026-08-21,42.0,0.0,0.0
call,575.0,2026-08-21,47.0,0.0,0.0
call,580.0,2026-08-21,394.0,0.0,0.0
call,585.0,2026-08-21,49.0,0.0,0.0
call,590.0,2026-08-21,44.0,0.0,0.0
call,595.0,2026-08-21,557.0,0.0,0.0
call,600.0,2026-08-21,661.0,0.0,0.0
call,605.0,2026-08-21,112.0,0.0,0.0
call,610.0,2026-08-21,444.0,0.0,0.0
