tipo,strike,vencimiento,oi,gamma,gex_contrib
call,500.0,2026-08-18,4.0,0.0,0.0
call,550.0,2026-08-18,8.0,0.0,0.0
call,580.0,2026-08-18,4.0,0.0,0.0
call,600.0,2026-08-18,8.0,0.0,0.0
call,605.0,2026-08-18,4.0,0.0,0.0
call,625.0,2026-08-18,22.0,0.0,0.0
call,630.0,2026-08-18,6.0,0.0,0.0
call,703.0,2026-08-18,8.0,0.0,0.0
call,706.0,2026-08-18,4.0,0.0,0.0
call,711.0,2026-08-18,0.0,0.0,0.0
call,714.0,2026-08-18,1.0,0.0,0.0
call,715.0,2026-08-18,3.0,0.0,0.0
call,716.0,2026-08-18,46.0,0.0,0.0
call,717.0,2026-08-18,4.0,0.0,0.0
call,718.0,2026-08-18,11.0,0.0,0.0
call,721.0,2026-08-18,6.0,0.0,0.0
call,723.0,2026-08-18,6.0,0.0,0.0
call,724.0,2026-08-18,12.0,0.0,0.0
call,730.0,2026-08-18,11.0,0.0,0.0
call,731.0,2026-08-18,4.0,0.0,0.0
call,735.0,2026-08-18,16.0,0.0,0.0
call,738.0,2026-08-18,6.0,0.0,0.0
call,739.0,2026-08-18,8.0,0.0,0.0
call,740.0,2026-08-18,3.0,0.0,0.0
call,741.0,2026-08-18,1.0,0.0,0.0
call,742.0,2026-08-18,12.0,0.0,0.0
call,743.0,2026-08-18,14.0,0.0,0.0
call,744.0,2026-08-18,56.0,0.0,0.0
call,745.0,2026-08-18,21.0,0.0,0.0
call,746.0,2026-08-18,18.0,0.0,0.0
call,747.0,2026-08-18,31.0,0.0,0.0
call,748.0,2026-08-18,26.0,0.0,0.0
call,749.0,2026-08-18,24.0,0.0,0.0
call,750.0,2026-08-18,48.0,0.0,0.0
call,751.0,2026-08-18,12.0,0.0,0.0
call,752.0,2026-08-18,23.0,0.0,0.0
call,753.0,2026-08-18,90.0,0.0,0.0
call,754.0,2026-08-18,45.0,0.0,0.0
call,755.0,2026-08-18,53.0,0.0,0.0
call,756.0,2026-08-18,62.0,0.0,0.0
call,757.0,2026-08-18,59.0,0.0,0.0
call,758.0,2026-08-18,34.0,0.0,0.0
call,759.0,2026-08-18,68.0,0.0,0.0
call,760.0,2026-08-18,118.0,0.0,0.0
call,761.0,2026-08-18,49.0,0.0,0.0
call,762.0,2026-08-18,147.0,0.0,0.0
call,763.0,2026-08-18,561.0,0.0,0.0
call,764.0,2026-08-18,82.0,0.0,0.0
call,765.0,2026-08-18,1522.0,0.0,0.0
call,766.0,2026-08-18,615.0,0.0,0.0
call,767.0,2026-08-18,350.0,0.0,0.0
call,768.0,2026-08-18,184.0,0.0,0.0
call,769.0,2026-08-18,435.0,0.0,0.0
call,770.0,2026-08-18,1848.0,0.0,0.0
call,771.0,2026-08-18,3002.0,0.0,0.0
call,772.0,2026-08-18,4210.0,0.0,0.0
call,773.0,2026-08-18,8001.0,0.0,0.0
call,774.0,2026-08-18,9059.0,0.0,0.0
call,775.0,2026-08-18,9849.0,0.0,0.0
call,776.0,2026-08-18,13705.0,0.0,0.0
call,777.0,2026-08-18,10764.0,0.0,0.0
call,778.0,2026-08-18,12327.0,0.0,0.0
call,779.0,2026-08-18,6634.0,0.0,0.0
call,780.0,2026-08-18,12385.0,0.0,0.0
call,781.0,2026-08-18,3686.0,0.0,0.0
call,782.0,2026-08-18,4470.0,0.0,0.0
call,783.0,2026-08-18,3258.0,0.0,0.0
call,784.0,2026-08-18,3594.0,0.0,0.0
call,785.0,2026-08-18,2152.0,0.0,0.0
call,786.0,2026-08-18,1304.0,0.0,0.0
call,787.0,2026-08-18,1220.0,0.0,0.0
call,788.0,2026-08-18,908.0,0.0,0.0
call,789.0,2026-08-18,1016.0,0.0,0.0
call,790.0,2026-08-18,1848.0,0.0,0.0
call,791.0,2026-08-18,2042.0,0.0,0.0
call,792.0,2026-08-18,1272.0,0.0,0.0
call,793.0,2026-08-18,1022.0,0.0,0.0
call,794.0,2026-08-18,2024.0,0.0,0.0
call,795.0,2026-08-18,377.0,0.0,0.0
call,796.0,2026-08-18,118.0,0.0,0.0
call,797.0,2026-08-18,102.0,0.0,0.0
call,798.0,2026-08-18,153.0,0.0,0.0
call,799.0,2026-08-18,174.0,0.0,0.0
call,800.0,2026-08-18,1226.0,0.0,0.0
call,801.0,2026-08-18,188.0,0.0,0.0
call,802.0,2026-08-18,155.0,0.0,0.0
call,803.0,2026-08-18,41.0,0.0,0.0
call,804.0,2026-08-18,70.0,0.0,0.0
call,805.0,2026-08-18,887.0,0.0,0.0
call,806.0,2026-08-18,231.0,0.0,0.0
call,807.0,2026-08-18,175.0,0.0,0.0
call,808.0,2026-08-18,24.0,0.0,0.0
call,809.0,2026-08-18,230.0,0.0,0.0
call,810.0,2026-08-18,364.0,0.0,0.0
call,815.0,2026-08-18,646.0,0.0,0.0
call,820.0,2026-08-18,398.0,0.0,0.0
call,825.0,2026-08-18,458.0,0.0,0.0
call,830.0,2026-08-18,393.0,0.0,0.0
call,835.0,2026-08-18,101.0,0.0,0.0
call,840.0,2026-08-18,4.0,0.0,0.0
call,850.0,2026-08-18,14.0,0.0,0.0
call,855.0,2026-08-18,29.0,0.0,0.0
call,865.0,2026-08-18,1.0,0.0,0.0
call,875.0,2026-08-18,5.0,0.0,0.0
call,880.0,2026-08-18,15.0,0.0,0.0
call,900.0,2026-08-18,943.0,0.0,0.0
call,930.0,2026-08-18,4.0,0.0,0.0
put,525.0,2026-08-18,15.0,0.0,-0.0
put,530.0,2026-08-18,10.0,0.0,-0.0
put,560.0,2026-08-18,2.0,0.0,-0.0
put,600.0,2026-08-18,1.0,0.0,-0.0
put,605.0,2026-08-18,396.0,0.0,-0.0
put,610.0,2026-08-18,275.0,0.0,-0.0
put,615.0,2026-08-18,18.0,0.0,-0.0
put,625.0,2026-08-18,50.0,0.0,-0.0
put,630.0,2026-08-18,4.0,0.0,-0.0
put,635.0,2026-08-18,30.0,0.0,-0.0
put,640.0,2026-08-18,142.0,0.0,-0.0
put,645.0,2026-08-18,56.0,0.0,-0.0
put,650.0,2026-08-18,42.0,0.0,-0.0
put,665.0,2026-08-18,170.0,0.0,-0.0
put,670.0,2026-08-18,7.0,0.0,-0.0
put,680.0,2026-08-18,45.0,0.0,-0.0
put,685.0,2026-08-18,50.0,0.0,-0.0
put,690.0,2026-08-18,133.0,0.0,-0.0
put,695.0,2026-08-18,47.0,0.0,-0.0
put,700.0,2026-08-18,145.0,0.0,-0.0
put,702.0,2026-08-18,125.0,0.0,-0.0
put,703.0,2026-08-18,80.0,0.0,-0.0
put,704.0,2026-08-18,1622.0,0.0,-0.0
put,705.0,2026-08-18,1030.0,0.0,-0.0
put,706.0,2026-08-18,107.0,0.0,-0.0
put,707.0,2026-08-18,2.0,0.0,-0.0
put,708.0,2026-08-18,95.0,0.0,-0.0
put,709.0,2026-08-18,219.0,0.0,-0.0
put,710.0,2026-08-18,166.0,0.0,-0.0
put,711.0,2026-08-18,11.0,0.0,-0.0
put,712.0,2026-08-18,0.0,0.0,-0.0
put,713.0,2026-08-18,24.0,0.0,-0.0
put,714.0,2026-08-18,321.0,0.0,-0.0
put,715.0,2026-08-18,115.0,0.0,-0.0
put,716.0,2026-08-18,289.0,0.0,-0.0
put,717.0,2026-08-18,96.0,0.0,-0.0
put,718.0,2026-08-18,3.0,0.0,-0.0
put,720.0,2026-08-18,95.0,0.0,-0.0
put,721.0,2026-08-18,16.0,0.0,-0.0
put,722.0,2026-08-18,82.0,0.0,-0.0
put,723.0,2026-08-18,708.0,0.0,-0.0
put,724.0,2026-08-18,745.0,0.0,-0.0
put,725.0,2026-08-18,816.0,0.0,-0.0
put,726.0,2026-08-18,719.0,0.0,-0.0
put,727.0,2026-08-18,80.0,0.0,-0.0
put,728.0,2026-08-18,24.0,0.0,-0.0
put,729.0,2026-08-18,59.0,0.0,-0.0
put,730.0,2026-08-18,242.0,0.0,-0.0
put,731.0,2026-08-18,146.0,0.0,-0.0
put,732.0,2026-08-18,4553.0,0.0,-0.0
put,733.0,2026-08-18,226.0,0.0,-0.0
put,734.0,2026-08-18,194.0,0.0,-0.0
put,735.0,2026-08-18,229.0,0.0,-0.0
put,736.0,2026-08-18,661.0,0.0,-0.0
put,737.0,2026-08-18,738.0,0.0,-0.0
put,738.0,2026-08-18,192.0,0.0,-0.0
put,739.0,2026-08-18,1041.0,0.0,-0.0
put,740.0,2026-08-18,2993.0,0.0,-0.0
put,741.0,2026-08-18,1373.0,0.0,-0.0
put,742.0,2026-08-18,838.0,0.0,-0.0
put,743.0,2026-08-18,942.0,0.0,-0.0
put,744.0,2026-08-18,487.0,0.0,-0.0
put,745.0,2026-08-18,1371.0,0.0,-0.0
put,746.0,2026-08-18,1078.0,0.0,-0.0
put,747.0,2026-08-18,5137.0,0.0,-0.0
put,748.0,2026-08-18,1274.0,0.0,-0.0
put,749.0,2026-08-18,6239.0,0.0,-0.0
put,750.0,2026-08-18,959.0,0.0,-0.0
put,751.0,2026-08-18,231.0,0.0,-0.0
put,752.0,2026-08-18,856.0,0.0,-0.0
put,753.0,2026-08-18,639.0,0.0,-0.0
put,754.0,2026-08-18,1250.0,0.0,-0.0
put,755.0,2026-08-18,2323.0,0.0,-0.0
put,756.0,2026-08-18,11806.0,0.0,-0.0
put,757.0,2026-08-18,7512.0,0.0,-0.0
put,758.0,2026-08-18,1379.0,0.0,-0.0
put,759.0,2026-08-18,1538.0,0.0,-0.0
put,760.0,2026-08-18,3668.0,0.0,-0.0
put,761.0,2026-08-18,2374.0,0.0,-0.0
put,762.0,2026-08-18,2276.0,0.0,-0.0
put,763.0,2026-08-18,2191.0,0.0,-0.0
put,764.0,2026-08-18,2461.0,0.0,-0.0
put,765.0,2026-08-18,7714.0,0.0,-0.0
put,766.0,2026-08-18,6173.0,0.0,-0.0
put,767.0,2026-08-18,3808.0,0.0,-0.0
put,768.0,2026-08-18,4728.0,0.0,-0.0
put,769.0,2026-08-18,3829.0,0.0,-0.0
put,770.0,2026-08-18,11560.0,0.0,-0.0
put,771.0,2026-08-18,5320.0,0.0,-0.0
put,772.0,2026-08-18,10300.0,0.0,-0.0
put,773.0,2026-08-18,13043.0,0.0,-0.0
put,774.0,2026-08-18,7065.0,0.0,-0.0
put,775.0,2026-08-18,12681.0,0.0,-0.0
put,776.0,2026-08-18,4587.0,0.0,-0.0
put,777.0,2026-08-18,3519.0,0.0,-0.0
put,778.0,2026-08-18,3407.0,0.0,-0.0
put,779.0,2026-08-18,41.0,0.0,-0.0
put,780.0,2026-08-18,46.0,0.0,-0.0
put,781.0,2026-08-18,19.0,0.0,-0.0
put,782.0,2026-08-18,4.0,0.0,-0.0
put,783.0,2026-08-18,16.0,0.0,-0.0
put,784.0,2026-08-18,1.0,0.0,-0.0
put,785.0,2026-08-18,1.0,0.0,-0.0
put,786.0,2026-08-18,1.0,0.0,-0.0
put,787.0,2026-08-18,35.0,0.0,-0.0
put,788.0,2026-08-18,0.0,0.0,-0.0
put,789.0,2026-08-18,0.0,0.0,-0.0
put,790.0,2026-08-18,2.0,0.0,-0.0
put,791.0,2026-08-18,0.0,0.0,-0.0
put,792.0,2026-08-18,0.0,0.0,-0.0
put,793.0,2026-08-18,0.0,0.0,-0.0
put,795.0,2026-08-18,0.0,0.0,-0.0
put,798.0,2026-08-18,0.0,0.0,-0.0
put,800.0,2026-08-18,0.0,0.0,-0.0
put,803.0,2026-08-18,0.0,0.0,-0.0
put,805.0,2026-08-18,0.0,0.0,-0.0
put,810.0,2026-08-18,0.0,0.0,-0.0
put,815.0,2026-08-18,0.0,0.0,-0.0
put,820.0,2026-08-18,0.0,0.0,-0.0
put,825.0,2026-08-18,0.0,0.0,-0.0
put,835.0,2026-08-18,0.0,0.0,-0.0
call,505.0,2026-08-19,14.0,0.0,0.0
call,540.0,2026-08-19,12.0,0.0,0.0
call,555.0,2026-08-19,4.0,0.0,0.0
call,580.0,2026-08-19,4.0,0.0,0.0
call,600.0,2026-08-19,19.0,0.0,0.0
call,605.0,2026-08-19,4.0,0.0,0.0
call,610.0,2026-08-19,4.0,0.0,0.0
call,615.0,2026-08-19,8.0,0.0,0.0
call,675.0,2026-08-19,1.0,0.0,0.0
call,700.0,2026-08-19,31.0,0.0,0.0
call,710.0,2026-08-19,1.0,0.0,0.0
call,715.0,2026-08-19,24.0,0.0,0.0
call,720.0,2026-08-19,4.0,0.0,0.0
call,722.0,2026-08-19,4.0,0.0,0.0
call,725.0,2026-08-19,1.0,0.0,0.0
call,731.0,2026-08-19,4.0,0.0,0.0
call,735.0,2026-08-19,1.0,0.0,0.0
call,736.0,2026-08-19,8.0,0.0,0.0
call,740.0,2026-08-19,6.0,0.0,0.0
call,741.0,2026-08-19,6.0,0.0,0.0
call,742.0,2026-08-19,21.0,0.0,0.0
call,743.0,2026-08-19,65.0,0.0,0.0
call,744.0,2026-08-19,10.0,0.0,0.0
call,745.0,2026-08-19,11.0,0.0,0.0
call,746.0,2026-08-19,7.0,0.0,0.0
call,747.0,2026-08-19,57.0,0.0,0.0
call,748.0,2026-08-19,34.0,0.0,0.0
call,749.0,2026-08-19,31.0,0.0,0.0
call,750.0,2026-08-19,11.0,0.0,0.0
call,751.0,2026-08-19,16.0,0.0,0.0
call,752.0,2026-08-19,6.0,0.0,0.0
call,753.0,2026-08-19,13.0,0.0,0.0
call,754.0,2026-08-19,69.0,0.0,0.0
call,755.0,2026-08-19,98.0,0.0,0.0
call,756.0,2026-08-19,44.0,0.0,0.0
call,757.0,2026-08-19,43.0,0.0,0.0
call,758.0,2026-08-19,11.0,0.0,0.0
call,759.0,2026-08-19,34.0,0.0,0.0
call,760.0,2026-08-19,127.0,0.0,0.0
call,761.0,2026-08-19,48.0,0.0,0.0
call,762.0,2026-08-19,68.0,0.0,0.0
call,763.0,2026-08-19,107.0,0.0,0.0
call,764.0,2026-08-19,302.0,0.0,0.0
call,765.0,2026-08-19,176.0,0.0,0.0
call,766.0,2026-08-19,255.0,0.0,0.0
call,767.0,2026-08-19,137.0,0.0,0.0
call,768.0,2026-08-19,229.0,0.0,0.0
call,769.0,2026-08-19,457.0,0.0,0.0
call,770.0,2026-08-19,453.0,0.0,0.0
call,771.0,2026-08-19,477.0,0.0,0.0
call,772.0,2026-08-19,1249.0,0.0,0.0
