tipo,strike,vencimiento,oi,gamma,gex_contrib
call,500.0,2026-08-17,17.0,0.0,0.0
call,525.0,2026-08-17,0.0,0.0,0.0
call,540.0,2026-08-17,1.0,0.0,0.0
call,570.0,2026-08-17,1.0,0.0,0.0
call,580.0,2026-08-17,3.0,0.0,0.0
call,595.0,2026-08-17,2.0,0.0,0.0
call,600.0,2026-08-17,24.0,0.0,0.0
call,605.0,2026-08-17,39.0,0.0,0.0
call,625.0,2026-08-17,30.0,0.0,0.0
call,630.0,2026-08-17,2.0,0.0,0.0
call,640.0,2026-08-17,41.0,0.0,0.0
call,645.0,2026-08-17,31.0,0.0,0.0
call,650.0,2026-08-17,12.0,0.0,0.0
call,652.0,2026-08-17,1.0,0.0,0.0
call,655.0,2026-08-17,3.0,0.0,0.0
call,658.0,2026-08-17,1.0,0.0,0.0
call,660.0,2026-08-17,17.0,0.0,0.0
call,665.0,2026-08-17,14.0,0.0,0.0
call,670.0,2026-08-17,16.0,0.0,0.0
call,671.0,2026-08-17,3.0,0.0,0.0
call,672.0,2026-08-17,2.0,0.0,0.0
call,675.0,2026-08-17,40.0,0.0,0.0
call,677.0,2026-08-17,12.0,0.0,0.0
call,678.0,2026-08-17,1.0,0.0,0.0
call,680.0,2026-08-17,67.0,0.0,0.0
call,682.0,2026-08-17,5.0,0.0,0.0
call,683.0,2026-08-17,5.0,0.0,0.0
call,684.0,2026-08-17,1.0,0.0,0.0
call,685.0,2026-08-17,39.0,0.0,0.0
call,686.0,2026-08-17,1.0,0.0,0.0
call,687.0,2026-08-17,2.0,0.0,0.0
call,689.0,2026-08-17,2.0,0.0,0.0
call,690.0,2026-08-17,72.0,0.0,0.0
call,692.0,2026-08-17,28.0,0.0,0.0
call,693.0,2026-08-17,1.0,0.0,0.0
call,694.0,2026-08-17,4.0,0.0,0.0
call,695.0,2026-08-17,32.0,0.0,0.0
call,696.0,2026-08-17,176.0,0.0,0.0
call,697.0,2026-08-17,11.0,0.0,0.0
call,698.0,2026-08-17,7.0,0.0,0.0
call,699.0,2026-08-17,14.0,0.0,0.0
call,700.0,2026-08-17,87.0,0.0,0.0
call,701.0,2026-08-17,24.0,0.0,0.0
call,702.0,2026-08-17,6.0,0.0,0.0
call,703.0,2026-08-17,6.0,0.0,0.0
call,704.0,2026-08-17,146.0,0.0,0.0
call,705.0,2026-08-17,175.0,0.0,0.0
call,706.0,2026-08-17,78.0,0.0,0.0
call,707.0,2026-08-17,46.0,0.0,0.0
call,708.0,2026-08-17,15.0,0.0,0.0
call,709.0,2026-08-17,53.0,0.0,0.0
call,710.0,2026-08-17,237.0,0.0,0.0
call,711.0,2026-08-17,211.0,0.0,0.0
call,712.0,2026-08-17,182.0,0.0,0.0
call,713.0,2026-08-17,219.0,0.0,0.0
call,714.0,2026-08-17,988.0,0.0,0.0
call,715.0,2026-08-17,821.0,0.0,0.0
call,716.0,2026-08-17,300.0,0.0,0.0
call,717.0,2026-08-17,275.0,0.0,0.0
call,718.0,2026-08-17,225.0,0.0,0.0
call,719.0,2026-08-17,237.0,0.0,0.0
call,720.0,2026-08-17,1092.0,0.0,0.0
call,721.0,2026-08-17,346.0,0.0,0.0
call,722.0,2026-08-17,466.0,0.0,0.0
call,723.0,2026-08-17,704.0,0.0,0.0
call,724.0,2026-08-17,586.0,0.0,0.0
call,725.0,2026-08-17,2379.0,0.0,0.0
call,726.0,2026-08-17,726.0,0.0,0.0
call,727.0,2026-08-17,705.0,0.0,0.0
call,728.0,2026-08-17,4474.0,0.0,0.0
call,729.0,2026-08-17,2069.0,0.0,0.0
call,730.0,2026-08-17,11199.0,0.0,0.0
call,731.0,2026-08-17,4356.0,0.0,0.0
call,732.0,2026-08-17,3724.0,0.0,0.0
call,733.0,2026-08-17,4571.0,0.0,0.0
call,734.0,2026-08-17,3073.0,0.0,0.0
call,735.0,2026-08-17,6309.0,0.0,0.0
call,736.0,2026-08-17,3678.0,0.0,0.0
call,737.0,2026-08-17,2900.0,0.0,0.0
call,738.0,2026-08-17,3904.0,0.0,0.0
call,739.0,2026-08-17,2013.0,0.0,0.0
call,740.0,2026-08-17,11604.0,0.0,0.0
call,741.0,2026-08-17,1617.0,0.0,0.0
call,742.0,2026-08-17,1795.0,0.0,0.0
call,743.0,2026-08-17,1541.0,0.0,0.0
call,744.0,2026-08-17,1856.0,0.0,0.0
call,745.0,2026-08-17,5128.0,0.0,0.0
call,746.0,2026-08-17,1832.0,0.0,0.0
call,747.0,2026-08-17,1094.0,0.0,0.0
call,748.0,2026-08-17,1723.0,0.0,0.0
call,749.0,2026-08-17,922.0,0.0,0.0
call,750.0,2026-08-17,4175.0,0.0,0.0
call,751.0,2026-08-17,1074.0,0.0,0.0
call,752.0,2026-08-17,265.0,0.0,0.0
call,753.0,2026-08-17,422.0,0.0,0.0
call,754.0,2026-08-17,490.0,0.0,0.0
call,755.0,2026-08-17,1368.0,0.0,0.0
call,756.0,2026-08-17,276.0,0.0,0.0
call,757.0,2026-08-17,155.0,0.0,0.0
call,758.0,2026-08-17,122.0,0.0,0.0
call,759.0,2026-08-17,114.0,0.0,0.0
call,760.0,2026-08-17,355.0,0.0,0.0
call,765.0,2026-08-17,658.0,0.0,0.0
call,770.0,2026-08-17,150.0,0.0,0.0
call,775.0,2026-08-17,143.0,0.0,0.0
call,780.0,2026-08-17,230.0,0.0,0.0
call,785.0,2026-08-17,83.0,0.0,0.0
call,790.0,2026-08-17,76.0,0.0,0.0
call,795.0,2026-08-17,16.0,0.0,0.0
call,800.0,2026-08-17,102.0,0.0,0.0
call,805.0,2026-08-17,23.0,0.0,0.0
call,810.0,2026-08-17,1.0,0.0,0.0
call,820.0,2026-08-17,2.0,0.0,0.0
call,825.0,2026-08-17,1.0,0.0,0.0
call,835.0,2026-08-17,4.0,0.0,0.0
call,850.0,2026-08-17,2.0,0.0,0.0
call,860.0,2026-08-17,5.0,0.0,0.0
call,930.0,2026-08-17,1.0,0.0,0.0
put,495.0,2026-08-17,22.0,0.0,-0.0
put,500.0,2026-08-17,175.0,0.0,-0.0
put,505.0,2026-08-17,48.0,0.0,-0.0
put,510.0,2026-08-17,674.0,0.0,-0.0
put,515.0,2026-08-17,3.0,0.0,-0.0
put,520.0,2026-08-17,566.0,0.0,-0.0
put,525.0,2026-08-17,3659.0,0.0,-0.0
put,530.0,2026-08-17,4090.0,0.0,-0.0
put,535.0,2026-08-17,996.0,0.0,-0.0
put,540.0,2026-08-17,3423.0,0.0,-0.0
put,545.0,2026-08-17,234.0,0.0,-0.0
put,550.0,2026-08-17,733.0,0.0,-0.0
put,555.0,2026-08-17,7507.0,0.0,-0.0
put,560.0,2026-08-17,5851.0,0.0,-0.0
put,565.0,2026-08-17,10027.0,0.0,-0.0
put,570.0,2026-08-17,16913.0,0.0,-0.0
put,575.0,2026-08-17,4728.0,0.0,-0.0
put,580.0,2026-08-17,712.0,0.0,-0.0
put,585.0,2026-08-17,3220.0,0.0,-0.0
put,590.0,2026-08-17,1702.0,0.0,-0.0
put,595.0,2026-08-17,1035.0,0.0,-0.0
put,600.0,2026-08-17,766.0,0.0,-0.0
put,605.0,2026-08-17,1503.0,0.0,-0.0
put,610.0,2026-08-17,766.0,0.0,-0.0
put,615.0,2026-08-17,430.0,0.0,-0.0
put,620.0,2026-08-17,339.0,0.0,-0.0
put,625.0,2026-08-17,166.0,0.0,-0.0
put,630.0,2026-08-17,334.0,0.0,-0.0
put,635.0,2026-08-17,688.0,0.0,-0.0
put,640.0,2026-08-17,1052.0,0.0,-0.0
put,645.0,2026-08-17,752.0,0.0,-0.0
put,650.0,2026-08-17,856.0,0.0,-0.0
put,651.0,2026-08-17,31.0,0.0,-0.0
put,652.0,2026-08-17,494.0,0.0,-0.0
put,653.0,2026-08-17,93.0,0.0,-0.0
put,654.0,2026-08-17,788.0,0.0,-0.0
put,655.0,2026-08-17,438.0,0.0,-0.0
put,656.0,2026-08-17,107.0,0.0,-0.0
put,657.0,2026-08-17,225.0,0.0,-0.0
put,658.0,2026-08-17,382.0,0.0,-0.0
put,659.0,2026-08-17,820.0,0.0,-0.0
put,660.0,2026-08-17,6185.0,0.0,-0.0
put,661.0,2026-08-17,224.0,0.0,-0.0
put,662.0,2026-08-17,135.0,0.0,-0.0
put,663.0,2026-08-17,125.0,0.0,-0.0
put,664.0,2026-08-17,685.0,0.0,-0.0
put,665.0,2026-08-17,1110.0,0.0,-0.0
put,666.0,2026-08-17,199.0,0.0,-0.0
put,667.0,2026-08-17,624.0,0.0,-0.0
put,668.0,2026-08-17,77.0,0.0,-0.0
put,669.0,2026-08-17,115.0,0.0,-0.0
put,670.0,2026-08-17,7651.0,0.0,-0.0
put,671.0,2026-08-17,149.0,0.0,-0.0
put,672.0,2026-08-17,148.0,0.0,-0.0
put,673.0,2026-08-17,159.0,0.0,-0.0
put,674.0,2026-08-17,289.0,0.0,-0.0
put,675.0,2026-08-17,823.0,0.0,-0.0
put,676.0,2026-08-17,847.0,0.0,-0.0
put,677.0,2026-08-17,428.0,0.0,-0.0
put,678.0,2026-08-17,524.0,0.0,-0.0
put,679.0,2026-08-17,675.0,0.0,-0.0
put,680.0,2026-08-17,1355.0,0.0,-0.0
put,681.0,2026-08-17,1003.0,0.0,-0.0
put,682.0,2026-08-17,589.0,0.0,-0.0
put,683.0,2026-08-17,505.0,0.0,-0.0
put,684.0,2026-08-17,1616.0,0.0,-0.0
put,685.0,2026-08-17,2128.0,0.0,-0.0
put,686.0,2026-08-17,259.0,0.0,-0.0
put,687.0,2026-08-17,757.0,0.0,-0.0
put,688.0,2026-08-17,659.0,0.0,-0.0
put,689.0,2026-08-17,538.0,0.0,-0.0
put,690.0,2026-08-17,1569.0,0.0,-0.0
put,691.0,2026-08-17,369.0,0.0,-0.0
put,692.0,2026-08-17,372.0,0.0,-0.0
put,693.0,2026-08-17,359.0,0.0,-0.0
put,694.0,2026-08-17,673.0,0.0,-0.0
put,695.0,2026-08-17,1207.0,0.0,-0.0
put,696.0,2026-08-17,744.0,0.0,-0.0
