tipo,strike,vencimiento,oi,gamma,gex_contrib
call,505.0,2026-08-26,0,0.0,0.0
call,520.0,2026-08-26,25,0.0,0.0
call,625.0,2026-08-26,22,0.0,0.0
call,630.0,2026-08-26,6,0.0,0.0
call,685.0,2026-08-26,4,0.0,0.0
call,700.0,2026-08-26,8,0.0,0.0
call,705.0,2026-08-26,0,0.0,0.0
call,708.0,2026-08-26,1,0.0,0.0
call,710.0,2026-08-26,8,0.0,0.0
call,712.0,2026-08-26,1,0.0,0.0
call,715.0,2026-08-26,2,0.0,0.0
call,716.0,2026-08-26,1,0.0,0.0
call,717.0,2026-08-26,7,0.0,0.0
call,720.0,2026-08-26,1,0.0,0.0
call,721.0,2026-08-26,2,0.0,0.0
call,725.0,2026-08-26,0,0.0,0.0
call,729.0,2026-08-26,3,0.0,0.0
call,730.0,2026-08-26,1,0.0,0.0
call,734.0,2026-08-26,1,0.0,0.0
call,735.0,2026-08-26,11,0.0,0.0
call,736.0,2026-08-26,3,0.0,0.0
call,737.0,2026-08-26,1,0.0,0.0
call,738.0,2026-08-26,8,0.0,0.0
call,740.0,2026-08-26,2,0.0,0.0
call,741.0,2026-08-26,4,0.0,0.0
call,742.0,2026-08-26,0,0.0,0.0
call,743.0,2026-08-26,4,0.0,0.0
call,744.0,2026-08-26,5,0.0,0.0
call,745.0,2026-08-26,30,0.0,0.0
call,746.0,2026-08-26,19,0.0,0.0
call,747.0,2026-08-26,57,0.0,0.0
call,748.0,2026-08-26,75,0.0,0.0
call,749.0,2026-08-26,68,0.0,0.0
call,750.0,2026-08-26,123,0.0,0.0
call,751.0,2026-08-26,32,0.0,0.0
call,752.0,2026-08-26,97,0.0,0.0
call,753.0,2026-08-26,42,0.0,0.0
call,754.0,2026-08-26,102,0.0,0.0
call,755.0,2026-08-26,645,0.0,0.0
call,756.0,2026-08-26,205,0.0,0.0
call,757.0,2026-08-26,417,0.0,0.0
call,758.0,2026-08-26,374,0.0,0.0
call,759.0,2026-08-26,147,0.0,0.0
call,760.0,2026-08-26,518,0.0,0.0
call,761.0,2026-08-26,295,0.0,0.0
call,762.0,2026-08-26,781,0.0,0.0
call,763.0,2026-08-26,991,0.0,0.0
call,764.0,2026-08-26,1828,0.0,0.0
call,765.0,2026-08-26,3721,0.0,0.0
call,766.0,2026-08-26,1799,0.0,0.0
call,767.0,2026-08-26,2281,0.0,0.0
call,768.0,2026-08-26,2342,0.0,0.0
call,769.0,2026-08-26,2480,0.0,0.0
call,770.0,2026-08-26,3088,0.0,0.0
call,771.0,2026-08-26,1457,0.0,0.0
call,772.0,2026-08-26,2060,0.0,0.0
call,773.0,2026-08-26,1632,0.0,0.0
call,774.0,2026-08-26,1725,0.0,0.0
call,775.0,2026-08-26,1770,0.0,0.0
call,776.0,2026-08-26,1555,0.0,0.0
call,777.0,2026-08-26,1043,0.0,0.0
call,778.0,2026-08-26,1037,0.0,0.0
call,779.0,2026-08-26,704,0.0,0.0
call,780.0,2026-08-26,2120,0.0,0.0
call,781.0,2026-08-26,1247,0.0,0.0
call,782.0,2026-08-26,838,0.0,0.0
call,783.0,2026-08-26,647,0.0,0.0
call,784.0,2026-08-26,799,0.0,0.0
call,785.0,2026-08-26,1829,0.0,0.0
call,786.0,2026-08-26,833,0.0,0.0
call,787.0,2026-08-26,1769,0.0,0.0
call,788.0,2026-08-26,606,0.0,0.0
call,789.0,2026-08-26,978,0.0,0.0
call,790.0,2026-08-26,1416,0.0,0.0
call,791.0,2026-08-26,637,0.0,0.0
call,792.0,2026-08-26,261,0.0,0.0
call,793.0,2026-08-26,182,0.0,0.0
call,794.0,2026-08-26,267,0.0,0.0
call,795.0,2026-08-26,120,0.0,0.0
call,796.0,2026-08-26,72,0.0,0.0
call,797.0,2026-08-26,249,0.0,0.0
call,798.0,2026-08-26,28,0.0,0.0
call,799.0,2026-08-26,1329,0.0,0.0
call,800.0,2026-08-26,1430,0.0,0.0
call,801.0,2026-08-26,89,0.0,0.0
call,802.0,2026-08-26,89,0.0,0.0
call,803.0,2026-08-26,1083,0.0,0.0
call,804.0,2026-08-26,207,0.0,0.0
call,805.0,2026-08-26,211,0.0,0.0
call,806.0,2026-08-26,101,0.0,0.0
call,807.0,2026-08-26,84,0.0,0.0
call,808.0,2026-08-26,27,0.0,0.0
call,809.0,2026-08-26,15,0.0,0.0
call,810.0,2026-08-26,245,0.0,0.0
call,815.0,2026-08-26,151,0.0,0.0
call,820.0,2026-08-26,26,0.0,0.0
call,825.0,2026-08-26,118,0.0,0.0
call,830.0,2026-08-26,1325,0.0,0.0
call,835.0,2026-08-26,42,0.0,0.0
call,840.0,2026-08-26,215,0.0,0.0
call,845.0,2026-08-26,1451,0.0,0.0
call,850.0,2026-08-26,3,0.0,0.0
call,855.0,2026-08-26,48,0.0,0.0
call,860.0,2026-08-26,173,0.0,0.0
call,865.0,2026-08-26,1,0.0,0.0
call,870.0,2026-08-26,2,0.0,0.0
call,875.0,2026-08-26,1423,0.0,0.0
call,880.0,2026-08-26,21,0.0,0.0
call,885.0,2026-08-26,6,0.0,0.0
call,900.0,2026-08-26,2,0.0,0.0
call,905.0,2026-08-26,1366,0.0,0.0
call,910.0,2026-08-26,979,0.0,0.0
call,920.0,2026-08-26,509,0.0,0.0
call,925.0,2026-08-26,1462,0.0,0.0
call,930.0,2026-08-26,505,0.0,0.0
put,575.0,2026-08-26,5,0.0,-0.0
put,595.0,2026-08-26,214,0.0,-0.0
put,600.0,2026-08-26,139,0.0,-0.0
put,605.0,2026-08-26,44,0.0,-0.0
put,610.0,2026-08-26,1,0.0,-0.0
put,615.0,2026-08-26,185,0.0,-0.0
put,620.0,2026-08-26,178,0.0,-0.0
put,625.0,2026-08-26,567,0.0,-0.0
put,630.0,2026-08-26,1060,0.0,-0.0
put,635.0,2026-08-26,85,0.0,-0.0
put,640.0,2026-08-26,16,0.0,-0.0
put,645.0,2026-08-26,1,0.0,-0.0
