tipo,strike,vencimiento,oi,gamma,gex_contrib
call,645.0,2026-08-17,4,5.5223988845849e-05,133.13483995316952
call,675.0,2026-08-17,0,9.736797553302024e-06,0.0
call,680.0,2026-08-17,1,1.1819936190181403e-05,7.123920898439242
call,695.0,2026-08-17,4,0.00020428909748328796,492.5032918852505
call,700.0,2026-08-17,1,2.4286766240863837e-05,14.63772720892694
call,708.0,2026-08-17,5,0.0003123217474811615,941.1875783924869
call,711.0,2026-08-17,10,0.00034980248689280854,2108.2730114666156
call,713.0,2026-08-17,1,0.0003776034593362709,227.5830539189509
call,714.0,2026-08-17,1,0.0003978987383868695,239.81509648177934
call,715.0,2026-08-17,1,0.0004140312000794324,249.53819304894918
call,718.0,2026-08-17,1,0.00046694753677786684,281.43107223284596
call,720.0,2026-08-17,1,0.000515498478935882,310.69291137591256
call,725.0,2026-08-17,1,0.0006431586193102762,387.6341678495548
call,727.0,2026-08-17,2,0.0007063860033882214,851.4831097112874
call,728.0,2026-08-17,1,0.0007402666465957679,446.16154852695473
call,729.0,2026-08-17,1,0.0007776209125041482,468.67510792938356
call,730.0,2026-08-17,104,0.0,0.0
call,731.0,2026-08-17,4,0.00084960380491119,2048.2378936116525
call,735.0,2026-08-17,51,0.0010486627184403189,32233.68526619927
call,740.0,2026-08-17,164,0.0012833523061727239,126850.94296381775
call,742.0,2026-08-17,8,0.0016223085729088216,7822.172817388062
call,743.0,2026-08-17,3,0.0017318057160812465,3131.297851610074
call,744.0,2026-08-17,12,0.0018493977060153465,13375.669129265703
call,745.0,2026-08-17,44,0.001957733927497386,51917.08502248668
call,746.0,2026-08-17,43,0.002099204425309873,54403.53818350523
call,749.0,2026-08-17,48,0.0026696501973368075,77232.4040725499
call,750.0,2026-08-17,188,0.002616352830698797,296454.54746805347
call,751.0,2026-08-17,14,0.003124852944278625,26367.052047119338
call,752.0,2026-08-17,7,0.0033879531428385908,14293.526518421277
call,753.0,2026-08-17,17,0.0032512006213264656,33311.68853508198
call,754.0,2026-08-17,44,0.003591215959061701,95235.3441200535
call,755.0,2026-08-17,242,0.00076473450204181,111539.83737252608
call,756.0,2026-08-17,134,0.0040554231879836936,327525.36171349086
call,757.0,2026-08-17,28,0.00479892963198436,80985.33251535475
call,758.0,2026-08-17,14,0.005320009228313713,44889.459669112526
call,759.0,2026-08-17,18,0.00599090290262918,64993.3230292926
call,760.0,2026-08-17,248,0.0012912556910086343,193004.7004561225
call,761.0,2026-08-17,138,0.007191670159869038,598153.7138669238
call,762.0,2026-08-17,192,0.008234107294125447,952843.7880753496
call,763.0,2026-08-17,115,0.009467135149603532,656176.0485317003
call,764.0,2026-08-17,157,0.010977765471986286,1038765.5958629227
call,765.0,2026-08-17,830,0.012909730167001043,6458017.445410086
call,766.0,2026-08-17,158,0.015191966419617672,1446688.5202384167
call,767.0,2026-08-17,365,0.01826374455536491,4017784.5583360093
call,768.0,2026-08-17,367,0.00042477094658363324,93956.06616866024
call,769.0,2026-08-17,302,0.013464408011126978,2450745.213325949
call,770.0,2026-08-17,1944,0.0016872243984403104,1976847.0279633296
call,771.0,2026-08-17,663,6.206143424532135e-17,2.4799292608497527e-08
call,772.0,2026-08-17,1317,0.010907968184335284,8658319.229160663
call,773.0,2026-08-17,2187,0.041058254941834404,54119431.592161834
call,774.0,2026-08-17,2107,0.09354114195678938,118787614.16185549
call,775.0,2026-08-17,2297,0.1552612387190241,214945322.39397565
call,776.0,2026-08-17,3209,0.1999842793731537,386784917.88108516
call,777.0,2026-08-17,2098,0.1953822626100269,247055527.49270982
