tipo,strike,vencimiento,oi,gamma,gex_contrib
call,610.0,2026-09-22,0,0.0,0.0
call,645.0,2026-09-22,0,0.0,0.0
call,655.0,2026-09-22,0,0.0,0.0
call,660.0,2026-09-22,0,0.0,0.0
call,695.0,2026-09-22,4,0.0,0.0
call,700.0,2026-09-22,48,0.0,0.0
call,705.0,2026-09-22,36,0.0,0.0
call,710.0,2026-09-22,31,0.0,0.0
call,715.0,2026-09-22,15,0.0,0.0
call,716.0,2026-09-22,17,0.0,0.0
call,717.0,2026-09-22,2,0.0,0.0
call,718.0,2026-09-22,47,0.0,0.0
call,719.0,2026-09-22,1,0.0,0.0
call,720.0,2026-09-22,5,0.0,0.0
call,721.0,2026-09-22,1,0.0,0.0
call,722.0,2026-09-22,0,0.0,0.0
call,723.0,2026-09-22,1,0.0,0.0
call,724.0,2026-09-22,2,0.0,0.0
call,725.0,2026-09-22,8,0.0,0.0
call,726.0,2026-09-22,0,0.0,0.0
call,727.0,2026-09-22,1,0.0,0.0
call,728.0,2026-09-22,2,0.0,0.0
call,729.0,2026-09-22,7,0.0,0.0
call,730.0,2026-09-22,22,0.0,0.0
call,731.0,2026-09-22,6,0.0,0.0
call,732.0,2026-09-22,8,0.0,0.0
call,734.0,2026-09-22,3,0.0,0.0
call,735.0,2026-09-22,14,0.0,0.0
call,736.0,2026-09-22,24,0.0,0.0
call,737.0,2026-09-22,6,0.0,0.0
call,738.0,2026-09-22,4,0.0,0.0
call,739.0,2026-09-22,29,0.0,0.0
call,740.0,2026-09-22,75,0.0,0.0
call,741.0,2026-09-22,4,0.0,0.0
call,742.0,2026-09-22,3,0.0,0.0
call,743.0,2026-09-22,1,0.0,0.0
call,744.0,2026-09-22,12,0.0,0.0
call,745.0,2026-09-22,19,0.0,0.0
call,746.0,2026-09-22,34,0.0,0.0
call,747.0,2026-09-22,21,0.0,0.0
call,748.0,2026-09-22,16,0.0,0.0
call,749.0,2026-09-22,3,0.0,0.0
call,750.0,2026-09-22,208,0.0,0.0
call,751.0,2026-09-22,27,0.0,0.0
call,752.0,2026-09-22,455,0.0,0.0
call,753.0,2026-09-22,239,0.0,0.0
call,754.0,2026-09-22,300,0.0,0.0
call,755.0,2026-09-22,1365,0.0,0.0
call,756.0,2026-09-22,280,0.0,0.0
call,757.0,2026-09-22,667,0.0,0.0
call,758.0,2026-09-22,1057,0.0,0.0
call,759.0,2026-09-22,2260,0.0,0.0
call,760.0,2026-09-22,1938,0.0,0.0
call,761.0,2026-09-22,2199,0.0,0.0
call,762.0,2026-09-22,2947,0.0,0.0
call,763.0,2026-09-22,2086,0.0,0.0
call,764.0,2026-09-22,1666,0.0,0.0
call,765.0,2026-09-22,5106,0.0,0.0
call,766.0,2026-09-22,3272,0.0,0.0
call,767.0,2026-09-22,1654,0.0,0.0
call,768.0,2026-09-22,2302,0.0,0.0
call,769.0,2026-09-22,1443,0.0,0.0
call,770.0,2026-09-22,3374,0.0,0.0
call,771.0,2026-09-22,1116,0.0,0.0
call,772.0,2026-09-22,6191,0.0,0.0
call,773.0,2026-09-22,2107,0.0,0.0
call,774.0,2026-09-22,1145,0.0,0.0
call,775.0,2026-09-22,2195,0.0,0.0
call,776.0,2026-09-22,2409,0.0,0.0
call,777.0,2026-09-22,2162,0.0,0.0
call,778.0,2026-09-22,1014,0.0,0.0
call,779.0,2026-09-22,1242,0.0,0.0
call,780.0,2026-09-22,1362,0.0,0.0
call,781.0,2026-09-22,785,0.0,0.0
call,782.0,2026-09-22,486,0.0,0.0
call,783.0,2026-09-22,425,0.0,0.0
call,784.0,2026-09-22,880,0.0,0.0
call,785.0,2026-09-22,740,0.0,0.0
call,786.0,2026-09-22,1132,0.0,0.0
call,787.0,2026-09-22,1283,0.0,0.0
call,788.0,2026-09-22,11396,0.0,0.0
call,789.0,2026-09-22,12715,0.0,0.0
call,790.0,2026-09-22,848,0.0,0.0
call,791.0,2026-09-22,89,0.0,0.0
call,792.0,2026-09-22,210,0.0,0.0
call,793.0,2026-09-22,413,0.0,0.0
call,794.0,2026-09-22,247,0.0,0.0
call,795.0,2026-09-22,190,0.0,0.0
call,796.0,2026-09-22,127,0.0,0.0
call,797.0,2026-09-22,309,0.0,0.0
call,798.0,2026-09-22,113,0.0,0.0
call,799.0,2026-09-22,263,0.0,0.0
call,800.0,2026-09-22,760,0.0,0.0
call,801.0,2026-09-22,133,0.0,0.0
call,803.0,2026-09-22,2891,0.0,0.0
call,804.0,2026-09-22,3086,0.0,0.0
call,805.0,2026-09-22,219,0.0,0.0
call,806.0,2026-09-22,1,0.0,0.0
call,807.0,2026-09-22,170,0.0,0.0
call,808.0,2026-09-22,535,0.0,0.0
call,809.0,2026-09-22,240,0.0,0.0
call,810.0,2026-09-22,162,0.0,0.0
call,815.0,2026-09-22,502,0.0,0.0
call,825.0,2026-09-22,630,0.0,0.0
call,830.0,2026-09-22,3,0.0,0.0
call,835.0,2026-09-22,163,0.0,0.0
call,840.0,2026-09-22,1,0.0,0.0
call,865.0,2026-09-22,200,0.0,0.0
call,870.0,2026-09-22,600,0.0,0.0
call,875.0,2026-09-22,408,0.0,0.0
put,550.0,2026-09-22,25,0.0,-0.0
put,555.0,2026-09-22,1,0.0,-0.0
put,565.0,2026-09-22,51,0.0,-0.0
put,570.0,2026-09-22,170,0.0,-0.0
put,590.0,2026-09-22,1,0.0,-0.0
put,595.0,2026-09-22,35,0.0,-0.0
put,610.0,2026-09-22,1,0.0,-0.0
put,615.0,2026-09-22,30,0.0,-0.0
put,620.0,2026-09-22,150,0.0,-0.0
put,625.0,2026-09-22,62,0.0,-0.0
put,630.0,2026-09-22,31,0.0,-0.0
put,635.0,2026-09-22,5,0.0,-0.0
put,640.0,2026-09-22,759,0.0,-0.0
put,645.0,2026-09-22,52,0.0,-0.0
put,650.0,2026-09-22,275,0.0,-0.0
