tipo,strike,vencimiento,oi,gamma,gex_contrib
call,515.0,2026-09-10,3,0.0,0.0
call,535.0,2026-09-10,1,0.0,0.0
call,570.0,2026-09-10,3,0.0,0.0
call,595.0,2026-09-10,1,0.0,0.0
call,600.0,2026-09-10,35,0.0,0.0
call,650.0,2026-09-10,2,0.0,0.0
call,655.0,2026-09-10,0,0.0,0.0
call,660.0,2026-09-10,1,0.0,0.0
call,665.0,2026-09-10,86,0.0,0.0
call,670.0,2026-09-10,17,0.0,0.0
call,673.0,2026-09-10,2,0.0,0.0
call,675.0,2026-09-10,5,0.0,0.0
call,676.0,2026-09-10,1,0.0,0.0
call,677.0,2026-09-10,13,0.0,0.0
call,679.0,2026-09-10,2,0.0,0.0
call,680.0,2026-09-10,129,0.0,0.0
call,681.0,2026-09-10,1,0.0,0.0
call,685.0,2026-09-10,1,0.0,0.0
call,686.0,2026-09-10,1,0.0,0.0
call,687.0,2026-09-10,1,0.0,0.0
call,688.0,2026-09-10,1,0.0,0.0
call,690.0,2026-09-10,70,0.0,0.0
call,691.0,2026-09-10,10,0.0,0.0
call,692.0,2026-09-10,6,0.0,0.0
call,693.0,2026-09-10,12,0.0,0.0
call,694.0,2026-09-10,6,0.0,0.0
call,695.0,2026-09-10,12,0.0,0.0
call,696.0,2026-09-10,11,0.0,0.0
call,697.0,2026-09-10,5,0.0,0.0
call,698.0,2026-09-10,19,0.0,0.0
call,699.0,2026-09-10,8,0.0,0.0
call,700.0,2026-09-10,93,0.0,0.0
call,701.0,2026-09-10,36,0.0,0.0
call,702.0,2026-09-10,21,0.0,0.0
call,703.0,2026-09-10,25,0.0,0.0
call,704.0,2026-09-10,130,0.0,0.0
call,705.0,2026-09-10,135,0.0,0.0
call,706.0,2026-09-10,181,0.0,0.0
call,707.0,2026-09-10,360,0.0,0.0
call,708.0,2026-09-10,221,0.0,0.0
call,709.0,2026-09-10,200,0.0,0.0
call,710.0,2026-09-10,1198,0.0,0.0
call,711.0,2026-09-10,260,0.0,0.0
